-0.000000,-0.000000,0.475725,0.129967,-0.000000,ovf,-0.000000,ovf,-0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf
0.620000,0.289501,0.000000,-0.000557,0.008975,0.000000,-0.001232,-0.010593,0.299551,0.013922,0.038406,-5.707822,-0.000023,-0.000001,0.000000,0.000000,0.000000,0.000000
0.000000,-0.897452,0.000000,-0.000427,0.000000,0.000000,-0.001209,-0.000494,-0.944213,0.013923,0.002057,15.664475,-0.000019,0.000302,0.000000,0.000000,0.000000,0.000000
-2.400000,-3.474006,0.000000,-0.000328,-0.034740,0.000000,-0.001190,0.041558,-3.712077,0.013621,-0.193655,55.032890,0.000042,0.000518,0.000000,0.000000,0.000000,0.000000
4.690000,10.262794,0.000000,-0.000333,0.067888,0.000000,-0.001232,-0.086515,11.163896,0.013103,0.442221,-150.885666,-0.000023,-0.001662,0.000000,0.000000,0.000000,0.000000
-0.680000,-7.773089,0.000000,-0.000040,-0.009843,0.000000,-0.001209,0.013111,-8.630319,0.014765,-0.072363,108.025017,-0.000128,0.001853,0.000000,0.000000,0.000000,0.000000
-0.080000,0.868502,0.000000,0.000026,-0.001158,0.000000,-0.001082,0.001676,0.984759,0.012912,-0.009864,-11.561125,0.000023,-0.000249,0.000000,0.000000,0.000000,0.000000
-2.050000,-2.851580,0.000000,0.000117,-0.029674,0.000000,-0.001105,0.044814,-3.317753,0.013161,-0.278259,36.913662,0.000058,-0.000053,0.000000,0.000000,0.000000,0.000000
-0.990000,1.534353,0.000000,0.000127,-0.014330,0.000000,-0.001163,0.023175,1.830492,0.013215,-0.150545,-19.466986,0.000097,-0.000776,0.000000,0.000000,0.000000,0.000000
-4.140000,-7.179613,0.000000,0.000799,-0.059927,0.000000,0.000558,0.062205,-7.236999,0.009627,-0.111050,280.056061,0.000031,0.005004,0.000000,0.000000,0.000000,0.000000
-3.970000,0.246075,0.000000,0.000662,-0.057466,0.000000,0.000527,0.059517,0.247881,0.004623,-0.106251,-9.592468,0.000166,-0.000478,0.000000,0.000000,0.000000,0.000000
-2.760000,1.751478,0.000000,0.000566,-0.039951,0.000000,0.000362,0.042370,1.777869,0.005101,-0.103009,-50.519871,0.000148,-0.001234,0.000000,0.000000,0.000000,0.000000
9.820000,18.209581,0.000000,0.000530,0.142145,0.000000,0.000214,-0.152208,18.661043,0.006336,0.463709,-423.163849,-0.000059,-0.006756,0.000000,0.000000,0.000000,0.000000
8.520000,-1.881753,0.000000,0.001066,0.123327,0.000000,0.000272,-0.135869,-1.951973,0.013092,0.492606,37.194103,-0.000404,0.002049,0.000000,0.000000,0.000000,0.000000
-2.170000,-15.473803,0.000000,0.001551,-0.031411,0.000000,0.000677,0.038086,-16.268841,0.011042,-0.158601,269.899811,-0.000204,0.004678,0.000000,0.000000,0.000000,0.000000
